t,omega_SMC,omega_AFSMC
0.0,-2.0980491952137044,-0.3496748658689507
0.01,-2.0654177653037515,-0.3487794178991816
0.02,-2.0323551947385132,-0.3478817800535046
0.03,-1.9988921606671501,-0.3469817419009548
0.04,-1.9650557103258115,-0.3460789768146502
0.05,-1.9308689360443543,-0.34517304439439717
0.06,-1.8963507279822485,-0.3442633930388237
0.07,-1.8615156062738707,-0.3433493626523736
0.08,-1.826373632325598,-0.34243018747132103
0.09,-1.7909303973091084,-0.34150499899211045
0.1,-1.7551870844719688,-0.3405728289847881
0.11,-1.7191406007531134,-0.3396326125740536
0.12,-1.682783772345609,-0.33868319137049296
0.13,-1.646105598275864,-0.3377233166348588
0.14,-1.6090915557400378,-0.3367516524587998
0.15,-1.5717239508198222,-0.3357667789462186
0.16,-1.5339823082515693,-0.3347671953804002
0.17,-1.4958437941037948,-0.33375132336321617
0.18,-1.4572836654879708,-0.3327175099140367
0.19,-1.4182757417487626,-0.3316640305174535
0.2,-1.3787928919187316,-0.3305890921105238
0.21,-1.3388075335509164,-0.3294908360019684
0.22,-1.2982921383379076,-0.3283673407175669
0.23,-1.2572197401716352,-0.32721662476789876
0.24,-1.2155644414836924,-0.3260366493365426
0.25,-1.173301913827152,-0.32482532088886307
0.26,-1.1304098887186256,-0.32358049370358144
0.27,-1.0868686347602012,-0.32229997233140284
0.28,-1.0426614170157142,-0.3209815139870862
0.29,-0.9977749345393692,-0.31962283088344495
0.3,-0.9521997318653816,-0.31822159251786825
0.31,-0.9059305801851487,-0.316775427924035
0.32,-0.858966823885545,-0.3152819279035534
0.33,-0.8113126881203023,-0.31373864725426676
0.34,-0.7629775431574657,-0.3121431070139379
0.35000000000000003,-0.7139761214090437,-0.3104927967399253
0.36,-0.6643286833205672,-0.30878517684728907
0.37,-0.6140611286902996,-0.3070176810295026
0.38,-0.5632050505072841,-0.30518771878757683
0.39,-0.5117977290451685,-0.30329267809490795
0.4,-0.45988206471906234,-0.30132992822652815
0.41000000000000003,-0.4075064490932957,-0.29929682278263525
0.42,-0.3547245743998158,-0.2971907029372888
0.43,-0.30159518296530763,-0.29500890094395943
0.44,-0.24818175901977527,-0.2927487439301663
0.45,-0.19455216643691184,-0.2904075580137179
0.46,-0.14077823700085074,-0.28798267277303263
0.47000000000000003,-0.08693531476943632,-0.2854714261036357
0.48,-0.03310176297540646,-0.28287116949215674
0.49,0.020641559356555293,-0.28017927373795
0.5,0.07421184332391395,-0.2773931351507937
0.51,0.12752489044513618,-0.27451018225092644
0.52,0.18049567899754715,-0.27152788299494
0.53,0.2330389280488685,-0.26844375254768804
0.54,0.2850696510339679,-0.26525536161638474
0.55,0.3365036911121674,-0.2619603453583863
0.56,0.38725823109407714,-0.25855641286877484
0.5700000000000001,0.43725227142851925,-0.2550413572477396
0.58,0.4864070705630512,-0.25141306624089405
0.59,0.5346465429071254,-0.247669533438052
0.6,0.5818976106043813,-0.2438088700076334
0.61,0.6280905063300632,-0.23982931693482126
0.62,0.6731590253422362,-0.23572925772184636
0.63,0.7170407260047789,-0.2315072314984817
0.64,0.7596770789432585,-0.22716194647998308
0.65,0.8010135658719986,-0.22269229369850943
0.66,0.8409997299268311,-0.21809736092257637
0.67,0.8795891800419429,-0.21337644666756153
0.68,0.9167395525136063,-0.2085290741888252
0.6900000000000001,0.9524124333951618,-0.20355500533790152
0.7000000000000001,0.9865732457662248,-0.19845425415167667
0.71,1.0191911062176884,-0.1932271000347454
0.72,1.0502386550978045,-0.18787410038654884
0.73,1.0796918651807788,-0.18239610251768046
0.74,1.1075298334562058,-0.17679425469423418
0.75,1.1337345607047122,-0.17107001614553943
0.76,1.1582907234323823,-0.16522516586933203
0.77,1.181185442593106,-0.15926181006964607
0.78,1.2024080533441164,-0.15318238806665613
0.79,1.2219498798635666,-0.14698967652456518
0.8,1.2398040190185537,-0.1406867918535036
0.81,1.2559651364136593,-0.1342771906544016
0.8200000000000001,1.2704292780794886,-0.12776466809183723
0.8300000000000001,1.2831937007816354,-0.12115335409892056
0.84,1.2942567236455556,-0.11444770734014466
0.85,1.3036176035026747,-0.10765250688257477
0.86,1.3112764360677251,-0.10077284155241406
0.87,1.3172340847542945,-0.09381409698244604
0.88,1.3214921386223026,-0.08678194038567537
0.89,1.3240529006234416,-0.07968230312098966
0.9,1.3249194069634433,-0.07252136114741271
0.91,1.3240954780285423,-0.0653055134937047
0.92,1.3215858009221788,-0.05804135889916539
0.93,1.317396043222285,-0.05073567080876028
0.9400000000000001,1.3115329970953182,-0.04339537093059631
0.9500000000000001,1.304004752388665,-0.03602750158564262
0.96,1.2948208967677632,-0.028639197097960672
0.97,1.2839927403707332,-0.021237654488166533
0.98,1.2715335618276877,-0.01383010374298273
0.99,1.2574588718433781,-0.006423777939400049
1.0,1.2417866898842918,0.0009741164970085975
1.01,1.2245378288626316,0.008356429123681602
1.02,1.205736182091665,0.015716094134690838
1.03,1.1854090062257516,0.023046158080908107
1.04,1.1635871934224018,0.03033980641747088
1.05,1.1403055256039891,0.037590388659109374
1.06,1.1156029034841095,0.04479144194666063
1.07,1.0895225429879,0.05193671285332257
1.08,1.0621121318630777,0.05902017728625902
1.09,1.0334239396697242,0.0660360583674571
1.1,1.0035148749646225,0.07297884220663406
1.11,0.9724464843633922,0.07984329150792534
1.12,0.9402848892620628,0.08662445698042857
1.1300000000000001,0.9071006573086126,0.09331768655000414
1.1400000000000001,0.8729686072007352,0.09991863239549632
1.1500000000000001,0.8379675470037244,0.10642325585644122
1.16,0.8021799478759624,0.11282783028094398
1.17,0.7656915567964127,0.11912894190161022
1.18,0.7285909535405045,0.12532348884398684
1.19,0.6909690586798736,0.13140867838576334
1.2,0.6529186007229303,0.13738202259610996
1.21,0.6145335516098701,0.14324133249289778
1.22,0.5759085405813164,0.14898471086131995
1.23,0.5371382569228823,0.15461054388073145
1.24,0.4983168522321644,0.16011749170754536
1.25,0.4595373526608213,0.16550447816092997
1.26,0.42089109106988715,0.17077067965512846
1.27,0.3824671682327212,0.17591551351765056
1.28,0.34435195117164186,0.1809386258266819
1.29,0.30662861547413195,0.185839878893969
1.3,0.26937673706173787,0.1906193385115096
1.31,0.23267193743974313,0.1952772610717422
1.32,0.19658558499752204,0.1998140806618665
1.33,0.16118455351222505,0.2042303962235661
1.34,0.12653103767950846,0.20852695885998013
1.35,0.09268242429251382,0.2127046593623891
1.36,0.05969121664295588,0.2167645160198938
1.37,0.02760500884445634,0.22070766276646492
1.3800000000000001,-0.003533493912544114,0.22453533771125617
1.3900000000000001,-0.03368641367259832,0.2282488720900197
1.4000000000000001,-0.06282060142361026,0.23184967966793837
1.41,-0.0909075071995254,0.23533924661720662
